id,version,bim360_account_id,bim360_project_id,label,description,status_set_id,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by,sort_order
ddae01be-84bb-475d-ab4e-4d130e468abf,16834478,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Specified,Specified,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,1
5b40ecd5-731d-4443-a1b8-a76c42d49abd,16834479,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Ordered,Ordered,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,2
e837cbb2-e13d-48a2-865f-1feb149f3545,16834480,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Delivered,Delivered,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,3
8abb9214-a0c5-46b1-a8ea-bb8282a82d13,16834481,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Installed,Installed,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,4
0a163efd-3b0a-4389-9672-4c245e3ca2ec,16834482,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Pre-Start-Up,Pre-Start-Up,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,5
64fcdc09-fc15-4340-9697-523d922654ec,16834483,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Start-Up,Start-Up,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,6
b84c3d7e-77d0-4450-aed1-72805b7ed29c,16834484,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Pre-Functional Performance Tests,Pre-Functional Performance Tests,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,7
78ecc317-d5d3-4d04-b09d-2bcebc5c082a,16834485,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Functional Performance Tests,Functional Performance Tests,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,8
f9a7183e-73a4-419f-b861-aabff3783fa9,16834486,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Acceptance,Acceptance,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,9
bb1811ec-990b-459d-b882-e4d3b147d523,16834487,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Post-Acceptance,Post-Acceptance,26311fcf-8214-41bb-91e7-b96c6bc58203,2022-08-24 01:58:31.809,7G5ALB7C2DNA,2022-08-24 01:58:31.809,7G5ALB7C2DNA,,,10
ea30814f-bda5-4fc4-83b8-5b4e064fa88d,34248723,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Ordered,,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,,,1
62205acd-5acd-456c-af8d-86a11e3d86e6,34248724,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Installed,,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,,,2
9b11567f-624b-435d-8219-af63930ba114,34248725,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Checked,,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,,,3
44679107-ee08-452c-8cf7-5b3cd70505c9,34248726,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,Handed Over,,fac59130-4f76-40f1-94fe-5916ed061a03,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,2024-03-06 02:49:12.588,7VZ2Q8PTMR3E7H96,,,4
