uid,layout_uid,section_uid,bim360_account_id,bim360_project_id,sort_index,label,schema,value_name,description,is_required,modifier,presets,type,display_index,field_id_v2
c9258fd3-0ccc-415b-8b44-9c0205dd2a3e,0cf4b681-030b-4f21-9e41-2ba530972a22,e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Cracks in concrete present,7bae71be-fd97-4d7f-ba24-3926c7b2f6b2,toggle_val,"",f,p/f,,field,1,7bae71be-fd97-4d7f-ba24-3926c7b2f6b2
f73e5d89-a01b-475e-b3bc-061c41bed4f0,0cf4b681-030b-4f21-9e41-2ba530972a22,e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,1,Damage to concrete,67a2b289-c352-4eff-a5fd-adc431b35a68,toggle_val,"",f,p/f,,field,2,67a2b289-c352-4eff-a5fd-adc431b35a68
feaefb8a-595c-45dc-a656-e4e1ba9817c3,0cf4b681-030b-4f21-9e41-2ba530972a22,e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2,Joints sealed,91c82b49-0778-43dd-9b8b-45fa898da692,toggle_val,"",f,p/f,,field,3,91c82b49-0778-43dd-9b8b-45fa898da692
00d6606a-c8d8-47a7-9cfd-a8c87108b189,0cf4b681-030b-4f21-9e41-2ba530972a22,e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3,Lifting lugs/tie rod holes filled,d6ad8d27-b38e-41a4-90be-8fd14ded69cd,toggle_val,"",f,y/n,,field,4,d6ad8d27-b38e-41a4-90be-8fd14ded69cd
1916fffc-0b6d-4e9b-804f-b6c49534d49e,0cf4b681-030b-4f21-9e41-2ba530972a22,e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,4,Render complete,0c0eb95f-429c-4e99-b79e-57dc7b6be3a8,toggle_val,"",f,y/n,,field,5,0c0eb95f-429c-4e99-b79e-57dc7b6be3a8
4ae59124-9656-4d15-8c9b-60f60a7b7da7,14205b94-0ec9-450a-911e-de38aea4ba5e,8dd263e1-9343-4a4c-bb06-7589de148b57,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Cracks,7bae71be-fd97-4d7f-ba24-3926c7b2f6b2,toggle_val,"",f,y/n,,field,1,7bae71be-fd97-4d7f-ba24-3926c7b2f6b2
0f3fbc1e-b3c6-4376-a160-50c710aa23e8,1c938581-9bf2-4a0f-ba6b-227c4a58c24d,38e50ff9-080b-4943-8335-978c0331f737,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Number,f888b158-2f9a-42f0-a7f6-7ba031d0fcf5,text_val,"",t,,,field,1,f888b158-2f9a-42f0-a7f6-7ba031d0fcf5
76ff4103-b836-4213-a989-3263f88e61ec,1c938581-9bf2-4a0f-ba6b-227c4a58c24d,38e50ff9-080b-4943-8335-978c0331f737,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,1,Location,9744d943-dc04-438c-84a7-2603f715cd02,text_val,"",t,,,field,2,9744d943-dc04-438c-84a7-2603f715cd02
2e48bc0e-2507-4103-8929-63bf007034b5,1c938581-9bf2-4a0f-ba6b-227c4a58c24d,38e50ff9-080b-4943-8335-978c0331f737,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2,Delivery Date,d0f9ec21-50e3-4c58-8326-470c4aba9d8b,date_val,"",t,,,field,3,d0f9ec21-50e3-4c58-8326-470c4aba9d8b
a04a78fd-59e7-4523-a5f1-924f62ccef9a,1c938581-9bf2-4a0f-ba6b-227c4a58c24d,38e50ff9-080b-4943-8335-978c0331f737,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3,Bar Weight,7ea58f7c-8cb0-4eb7-befb-224d00abc3ef,number_val,"",t,,,field,4,7ea58f7c-8cb0-4eb7-befb-224d00abc3ef
