issue_subtype_id,bim360_account_id,bim360_project_id,issue_type_id,issue_subtype,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
581067b2-81c1-4748-a04e-030110b42e65,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d64ac37e-8680-49a8-ac6f-372bc9b10b1a,Quality,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
f13e7a55-3efe-4560-9dc1-80d0e6d1ba5c,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,867bb72d-d198-4af0-bced-d330b4729ffe,General,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
f84dd29d-3ffa-4a1c-ae62-bff261af17f6,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,97fff946-bee5-46ec-aaa7-d0f55264f268,Safety,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
1cf612b7-f320-466f-9a82-d343378a131a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,97fff946-bee5-46ec-aaa7-d0f55264f268,Safety Infraction,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
26bd6d72-6205-4662-b353-ddfe896a28ef,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,517e6b06-5d6d-46fa-9d9f-a8573354365e,Punch List,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
33c36c5a-c0a4-49a6-b564-8a3c9a8d4a7a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,517e6b06-5d6d-46fa-9d9f-a8573354365e,Pre-Punch List,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
34ed17b4-1603-4878-90f8-4617f17bc0b4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3b45a6cb-142c-4444-ac5a-76359dc8840a,Commissioning,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
9db2a1e7-53b2-4e11-8eb4-e2408fe7043d,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7108848e-e565-41b8-a687-5d5def4e009d,Work List,f,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
7687021a-f7e7-42b2-ade0-3b05abf5c6c9,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7108848e-e565-41b8-a687-5d5def4e009d,Work to Complete,f,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
feff0042-76a9-4bd1-a106-57e3e6f5a6c9,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9a4442a6-afe0-441a-a347-d3f57ef230d6,Observation,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
6f698fc6-17a6-44eb-9204-9f90fbff98d5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9a4442a6-afe0-441a-a347-d3f57ef230d6,Quality,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
d281cc02-ac34-4ba3-aadd-cd88a9a69e80,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9a4442a6-afe0-441a-a347-d3f57ef230d6,Safety,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
ac95cf5a-dd08-49dc-906d-e83f24477d36,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,37d816fd-8a57-438b-8a2c-bfa889a9e139,Warranty,f,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
b8a0b3d0-65e6-48a4-a01d-cdcf599f45e2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,Coordination,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
bf5738fa-e37c-4514-8c38-1c0024efabc1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,Clash,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
1d55bd6e-d814-465a-819b-d634b55a699b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Design,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
871e50a8-0a25-4c4e-8cc9-aefcba7ce7dc,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Requirement Change,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
de0ba96d-7bd1-4bed-b019-bdf402542b7a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Client Feedback,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
88c9759c-337a-43eb-845f-f7127dc1ab7f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Work to Complete,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
8f043539-b3ba-41ce-a38c-ef6032243084,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Building Code,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
f6e8705d-4397-44d5-a9ef-6a6958f1217f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,65867d15-5007-4521-8aae-1adb40a24d2c,Existing Condition,t,System,2022-08-24 01:58:30.487,System,2022-08-24 01:58:30.487,,
