bim360_account_id,service
60844ec8-1755-47a1-a106-1cc9a6c26e18,costManagement
60844ec8-1755-47a1-a106-1cc9a6c26e18,quantification
60844ec8-1755-47a1-a106-1cc9a6c26e18,fieldManagement
60844ec8-1755-47a1-a106-1cc9a6c26e18,modelCoordination
60844ec8-1755-47a1-a106-1cc9a6c26e18,designCollaboration
60844ec8-1755-47a1-a106-1cc9a6c26e18,projectManagement
60844ec8-1755-47a1-a106-1cc9a6c26e18,insight
60844ec8-1755-47a1-a106-1cc9a6c26e18,documentManagement
60844ec8-1755-47a1-a106-1cc9a6c26e18,glue
60844ec8-1755-47a1-a106-1cc9a6c26e18,assets
