id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
306409542,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,d5bbeb19-d04d-4c3c-b7a6-ecbcb295afbb,27615d6c-1ca9-4fa8-b804-28d2162977f0,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2023-10-09 03:39:33.978,7VZ2Q8PTMR3E7H96,2023-10-09 03:39:33.978,f,,,
306409543,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c198c341-dd47-42cd-befa-7ed6b9475a93,2f2fc5f8-3377-4b85-8c82-adb40de40c51,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2023-10-09 03:34:28.36,7VZ2Q8PTMR3E7H96,2023-10-09 03:34:28.36,f,,,
306409544,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b9eb9611-8817-4e3a-8065-e05e7337a65a,6cf86259-16f1-4f08-98b4-7bbe3b8e2d10,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2023-10-04 06:30:59.147,7VZ2Q8PTMR3E7H96,2023-10-04 06:30:59.147,f,,,
404500878,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a93fd56b-9315-4080-b836-84a2368f5ba2,,,plangrid/text,7VZ2Q8PTMR3E7H96,2024-07-25 07:58:28.274783,7VZ2Q8PTMR3E7H96,2024-07-25 07:58:52.211212,t,7VZ2Q8PTMR3E7H96,2024-07-25 07:58:52.229165,Add text
404500907,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,1d75aa0c-65c9-449e-bffe-d044f6f77a30,,,plangrid/text,7VZ2Q8PTMR3E7H96,2024-07-25 07:58:56.906854,7VZ2Q8PTMR3E7H96,2024-07-25 07:58:56.906854,f,,,Add text
404500922,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,b6a7b395-5595-43e8-9016-1eaf387f71b4,,,plangrid/cloud,7VZ2Q8PTMR3E7H96,2024-07-25 07:59:10.448259,7VZ2Q8PTMR3E7H96,2024-07-25 07:59:10.448259,f,,,
404500930,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,c399df9f-d762-4d80-8320-7b90e702d5d4,775820a1-44b1-4655-a6a5-f56d41682d3b,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2024-07-25 07:59:17.186325,7VZ2Q8PTMR3E7H96,2024-07-25 07:59:29.332477,f,,,CM
405289547,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,53b2375f-f528-4c81-bad0-a791bb235ebe,7f94798b-083a-4d1d-b876-02df4f1cdd46,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2024-07-26 03:09:55.532927,7VZ2Q8PTMR3E7H96,2024-07-26 03:09:55.532927,f,,,
907608917,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,e2d24aa9-3f8f-4b3b-bb8c-fdfb65ef0a1f,a7656ea1-15f8-4221-8faf-212983ba12ea,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-10-09 05:06:47.582227,7VZ2Q8PTMR3E7H96,2025-10-09 05:06:47.582227,f,,,
505257835,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,77bd2df3-915d-48ed-9655-b31acc78ca69,db07c005-7c50-4897-9423-a5c03241c138,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2024-12-04 08:07:04.251056,7VZ2Q8PTMR3E7H96,2024-12-04 08:10:00.562276,f,,,
540138873,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,158cb211-f85d-49a7-87c3-a56500d6ec40,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,issue,plangrid/stamp,7VZ2Q8PTMR3E7H96,2025-01-21 04:06:35.928906,7VZ2Q8PTMR3E7H96,2025-01-21 04:06:35.928906,f,,,
